zone,season,rmse_auto,rmse_manual,mae_auto,mae_manual,median_abs_error_auto,median_abs_error_manual,bias_auto,bias_manual,n_auto,n_manual,delta_rmse,delta_mae,delta_medae,delta_bias
Z01,Wet,12.36406180537052,28.547528438464308,8.426007094965504,16.550004968773404,5.445232384037709,8.94856909060696,-0.9263483939918333,-16.10749295044293,1114,1114,-16.183466633093786,-8.1239978738079,-3.5033367065692502,15.181144556451095
Z01,Trans. Wet-Dry,17.452679778068184,11.255432788349074,11.528843167727342,6.936227764231972,7.884791885301745,4.689637887415069,9.910634003897158,0.3327144506807201,884,884,6.19724698971911,4.59261540349537,3.195153997886676,9.577919553216438
Z01,Dry,16.102462388462783,19.00814211869298,9.823305284436595,13.184573679963746,5.981312642630712,9.155803968463033,-9.479231778822736,-13.138586583193948,1072,1072,-2.9056797302301973,-3.3612683955271514,-3.174491325832321,3.659354804371212
Z01,Trans. Dry-Wet,24.23491533430487,12.203535975086377,16.405365354853675,7.39144774382764,10.755216790404532,4.5670447296210455,16.295674060556774,5.989093049933143,1065,1065,12.031379359218493,9.013917611026034,6.1881720607834865,10.306581010623631
Z02,Wet,26.312835532962,16.398544160140705,14.466540410787069,10.545335429649187,5.942454327728271,7.155059368111054,10.644196409942262,-1.8556900851272764,815,815,9.914291372821296,3.9212049811378815,-1.2126050403827833,12.49988649506954
Z02,Trans. Wet-Dry,33.0886533706725,10.473739124742442,21.74420225865667,6.171591146531591,10.44128054678274,3.6320849440896836,21.367631196634793,-1.0314672458872607,830,830,22.61491424593006,15.572611112125081,6.809195602693057,22.399098442522053
Z02,Dry,26.079374676608012,26.053754597819733,16.296899225078292,15.449399064722604,7.065051808141078,4.692503089399352,-1.0321681540587175,-1.3034831526436388,851,851,0.025620078788278988,0.847500160355688,2.372548718741726,0.27131499858492125
Z02,Trans. Dry-Wet,12.736676769585307,19.019439606341116,8.080208415389533,11.08795298453213,5.12474924184459,3.3883027356366604,3.4651983107709023,3.6011220425528476,668,668,-6.2827628367558095,-3.007744569142597,1.7364465062079297,-0.13592373178194528
Z03,Wet,21.79972373547603,19.966080604919238,9.839744964438035,8.899992820454138,4.333634937813002,3.283399206462313,8.682979239004913,1.9609803843555302,447,447,1.8336431305567906,0.9397521439838972,1.0502357313506892,6.721998854649383
Z03,Trans. Wet-Dry,6.736936134162061,6.60321667110653,5.366952289054261,4.2523722759272555,4.7078863742858275,2.5584707434447793,2.6227641152310954,-1.6060233730283473,453,453,0.13371946305553095,1.1145800131270054,2.149415630841048,4.228787488259442
