season,method_key,validation_method,rmse,mae,median_abs_error,bias,median_error,n
Wet,auto,Automated NDVI 0.30,24.38513690658332,14.878442401303248,8.776450738933416,7.259921728744189,1.9663557769466369,5744
Wet,manual,Manual PlanetScope,20.321763384734933,11.73410625305767,7.193395716055623,-2.3270300388207117,-3.0140408891703423,5744
Trans. Wet-Dry,auto,Automated NDVI 0.30,18.89857725793775,12.205585739071084,8.595332724124823,4.648255026510148,3.1915720908969636,5473
Trans. Wet-Dry,manual,Manual PlanetScope,12.997591520542915,8.546022492468131,5.67859494416048,-3.235698468861296,-1.6170125124063102,5473
Dry,auto,Automated NDVI 0.30,25.59777264314742,17.366375621697205,10.129374073948298,9.449320420021039,6.312944992181386,6195
Dry,manual,Manual PlanetScope,20.612450556873505,13.861541198013967,9.941213957664942,4.191895822025752,4.196458927448404,6195
Trans. Dry-Wet,auto,Automated NDVI 0.30,15.531719800814615,10.972296568317326,9.36934349859736,2.124591744944424,1.6406041975826682,5499
Trans. Dry-Wet,manual,Manual PlanetScope,16.509933898393882,11.11065991236132,7.10936259941931,-4.507241423028748,-2.0065371671928887,5499
