season,rmse_auto,rmse_manual,mae_auto,mae_manual,median_abs_error_auto,median_abs_error_manual,bias_auto,bias_manual,n_auto,n_manual,delta_rmse,delta_mae,delta_medae,delta_bias
Wet,24.38513690658332,20.321763384734933,14.878442401303248,11.73410625305767,8.776450738933416,7.193395716055623,7.259921728744189,-2.3270300388207117,5744,5744,4.063373521848387,3.1443361482455785,1.5830550228777938,9.586951767564901
Trans. Wet-Dry,18.89857725793775,12.997591520542915,12.205585739071084,8.546022492468131,8.595332724124823,5.67859494416048,4.648255026510148,-3.235698468861296,5473,5473,5.900985737394834,3.6595632466029535,2.9167377799643432,7.883953495371443
Dry,25.59777264314742,20.612450556873505,17.366375621697205,13.861541198013967,10.129374073948298,9.941213957664942,9.449320420021039,4.191895822025752,6195,6195,4.985322086273914,3.5048344236832385,0.18816011628335616,5.2574245979952865
Trans. Dry-Wet,15.531719800814615,16.509933898393882,10.972296568317326,11.11065991236132,9.36934349859736,7.10936259941931,2.124591744944424,-4.507241423028748,5499,5499,-0.9782140975792668,-0.13836334404399508,2.25998089917805,6.631833167973172
