season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n,validation_method
Dry,20.47609731842592,13.742627838642116,9.856149750888536,4.382709568909303,4.334046697783279,0.646008934155857,0.7157651853452498,6420,Manual PlanetScope
Trans. Dry-Wet,16.587716994832004,11.098384492440475,6.965239796733492,-4.572786819967952,-1.8953567966186249,0.7714098446212596,0.802650692953057,5602,Manual PlanetScope
Trans. Wet-Dry,14.584057288611527,9.619709079674845,6.459457299661821,-3.728349396577703,-2.1972472239186303,0.8219716958270384,0.8459239504124607,6289,Manual PlanetScope
Wet,20.130156270307857,11.558093476391676,7.035602066947899,-2.1843439013588855,-2.844121508519068,0.6764213538994732,0.725478844124648,5968,Manual PlanetScope
Dry,25.828835485713803,17.48790929562538,10.171459113305822,9.275446336933529,6.263907094223931,0.525906421772476,0.6233801923693804,6216,Automated NDVI 0.30
Trans. Dry-Wet,15.594581857915363,10.998014458723777,9.375218334820488,2.1795263435435706,1.737066468394719,0.8181385758585549,0.8243215528202086,5551,Automated NDVI 0.30
Trans. Wet-Dry,18.960452119477377,12.23050582264193,8.597160366592455,4.576534806328244,3.0723220492252263,0.7491222026610265,0.7671296145520229,5713,Automated NDVI 0.30
Wet,24.380430562577672,14.875454259163618,8.775556846584266,7.26749682500467,1.995499940924816,0.565190716770404,0.6435604660473678,5767,Automated NDVI 0.30
