zone,season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
Z01,dry,19.008142118692977,13.184573679963744,9.155803968463033,-13.138586583193948,-9.144093684199245,0.41642497888777996,0.7067735274919555,1072
Z01,transdrywet,12.112159527069675,7.313938509838822,4.406249141997892,5.912853263685768,3.971301809246693,0.791255182035822,0.8540073686410307,1082
Z01,transwetdry,13.718692073908327,8.746270982862255,5.2904817609063794,-2.248419976917395,-0.7595144168701342,0.7066851991281973,0.752997395755449,1016
Z01,wet,28.547528438464305,16.550004968773408,8.94856909060696,-16.10749295044293,-8.841346491137692,0.0657349064884385,0.4145144434123702,1114
Z02,dry,26.053754597819736,15.449399064722606,4.692503089399352,-1.3034831526436448,-1.1473772608456159,0.01856301732244836,0.3772929206468503,851
Z02,transdrywet,19.019439606341113,11.087952984532128,3.3883027356366604,3.6011220425528494,0.42687518584512674,0.3777267684531679,0.5355524315011553,668
Z02,transwetdry,11.4576264263915,7.389725095968812,4.349470614115077,-2.9502840579513356,-0.7912939779965598,0.8502851753538705,0.8604365963151869,961
Z02,wet,16.398544160140705,10.545335429649185,7.155059368111054,-1.8556900851272708,-0.2611143858795941,0.7154938454994848,0.7217375767674299,815
Z03,dry,16.450350282777926,14.632093197394246,12.549884669769389,14.252702807796911,12.481557963753021,0.641303755512382,0.9125911220137122,498
Z03,transdrywet,7.759239802197265,6.959256148989818,6.835679936454106,5.5073534086618485,6.718656242020407,0.9081851545882975,0.9613376177212805,178
Z03,transwetdry,6.472789119969445,4.157035853754236,2.4912287731859415,-1.416214253793673,-0.5384914631685724,0.9601885205616344,0.9621570818047757,478
Z03,wet,19.67031814269948,8.711259748634491,3.2558156634177386,1.9150420172124571,-2.4885386807435665,0.628352824477294,0.7310787040749748,461
Z04,dry,26.371863683351613,18.695812819585925,15.672223320047223,10.495771381346518,11.134965971585842,0.5544109156315452,0.6546332173664737,1733
Z04,transdrywet,19.41407222558744,13.763710657641997,11.329890234965855,-8.908572294905495,-9.66492494065708,0.777504568413348,0.8280647222723321,1710
Z04,transwetdry,16.168126584134637,10.79078795717943,8.24020171593478,-3.1087076208061113,-2.518982177590841,0.8037918665233175,0.8254951717380135,1788
Z04,wet,21.850869333921437,13.250552416973681,7.917150804479569,7.297470806307758,2.6982514147095245,0.6583096126102317,0.7456791554271202,1466
Z05,dry,13.806339301981161,8.765463248966238,4.050757303641788,6.736455036454253,3.1291094145742164,0.8037364088776843,0.8872111037031389,1416
Z05,transdrywet,17.410007325969328,13.26084692229158,15.825009680883399,-12.094030000868841,-15.748283600625538,0.664963712290848,0.8298496986442437,1388
Z05,transwetdry,19.68671379781158,14.852924286272804,12.15945358092781,-9.954893878250648,-10.428627227753168,0.5066960013766533,0.6537901027604281,1215
Z05,wet,12.821826483133776,9.189671242472793,7.490734823481624,-5.451206460315025,-6.255659834230475,0.8267507934009609,0.87258013800762,1321
Z06,dry,11.722321878587097,10.409231936354551,9.952685953658325,10.005866210242086,9.945949576116384,0.5731023688729231,0.8885696821162016,850
Z06,transdrywet,10.630062817074375,6.374943607829427,4.3116550666101645,-5.86830757368269,-4.293705011351456,0.21444867867530537,0.5691118415986832,576
Z06,transwetdry,8.633994871337668,6.237446754402171,4.36915749458619,0.003061398978788503,-1.5078167458572267,0.8098695786705247,0.8264530317996891,831
Z06,wet,15.734937196131817,8.049041287000488,2.637929542737581,2.579124304622443,-0.0255567843170752,0.286923970417459,0.6390672130814529,791
