vgroup,season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
agriculture,dry,23.577393120196284,16.313717227313816,9.270505103978039,-0.7773168011250283,3.694659533142996,0.2244715418488491,0.3632154771782434,389
agriculture,transdrywet,21.744271738343993,16.257891048495836,14.46370056381637,-11.905056859673996,-13.281195298775934,0.3613690457405576,0.5976898113408373,413
agriculture,transwetdry,23.5295944874473,15.850437776102664,10.41638048745331,-6.173064955342779,-8.259605781786767,0.2336828273685837,0.4324372929736909,455
agriculture,wet,24.329297212726036,14.660806643679768,8.733808944724782,6.831606863515313,-1.0086227480610752,0.03412443975822155,0.6389657638406003,454
mangrove,dry,17.802923122350037,12.599277802074681,10.302892521270188,9.517708641137895,9.11041361935645,0.574979383772709,0.7279164558254413,2641
mangrove,transdrywet,13.751158095691489,9.70708207152324,6.494419936359044,-4.801356164016771,-1.1670018516494638,0.7586789731885429,0.7945562048294381,2242
mangrove,transwetdry,12.34313831150719,8.811488379768914,5.841267547003405,-3.441283751052974,-1.0579909545945085,0.7944089799482954,0.8261174107944377,2359
mangrove,wet,15.214852603549662,9.125711635048875,6.3315565045606945,-0.9059147139281442,-2.243570677997951,0.6989077415634335,0.7431790403098086,2261
mixed_vegetation,dry,28.46133614145652,14.501053901358636,5.234273966591193,12.509135948933546,4.06267389025124,-0.675899002751265,0.43204344500490066,297
mixed_vegetation,transdrywet,21.8885283890595,16.566225033038652,14.841454222482458,-15.371603874911566,-13.51809262788178,-0.5410261558646132,0.44754454800813503,254
mixed_vegetation,transwetdry,22.011979082922608,15.239184440400418,12.805431592429663,-5.189263921356022,-9.303157339506285,0.24046177893250043,0.4106258017947576,324
mixed_vegetation,wet,12.10224290452368,7.749700018244504,4.698936215914216,0.34549996331831295,-0.26159197351723584,0.679925899002034,0.7920750345007201,321
