season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
dry,20.476097318425918,13.742627838642116,9.856149750888537,4.382709568909303,4.334046697783279,0.646008934155857,0.7157651853452498,6420
transdrywet,16.587716994832004,11.098384492440475,6.965239796733492,-4.572786819967952,-1.8953567966186249,0.7714098446212596,0.802650692953057,5602
transwetdry,14.584057288611529,9.619709079674843,6.459457299661821,-3.728349396577703,-2.1972472239186303,0.8219716958270384,0.8459239504124607,6289
wet,20.130156270307857,11.558093476391676,7.035602066947899,-2.1843439013588855,-2.844121508519068,0.6764213538994732,0.725478844124648,5968
