zone,season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
Z01,dry,16.37862129160743,9.976419299247757,5.982672912373154,-9.634894486268076,-5.9631162071996116,0.5347285236446848,0.7138435951451618,1080
Z01,transdrywet,24.23491533430487,16.40536535485368,10.755216790404532,16.295674060556774,10.755216790404532,-0.09170887732082877,0.5715138287486552,1065
Z01,transwetdry,17.46773426777464,11.547167801472341,7.887900125735449,9.930787122573042,7.081563274571174,0.4673654216169193,0.7291875858408514,885
Z01,wet,12.359773285404142,8.430036025563068,5.459275388513255,-0.950519648763899,-1.005012031407901,0.7036524087858711,0.769997450602717,1117
Z02,dry,26.065025031733096,16.285434002713465,7.006597431769414,-1.0386192827162248,0.9270245465593909,-0.01891595398643786,0.3769632489468586,852
Z02,transdrywet,12.59815961349308,8.180194753173648,5.496105987001972,3.825919682714262,2.4684319795580656,0.7569369989134981,0.8145640481144695,708
Z02,transwetdry,33.03137248488217,21.684130889175155,10.433575751432809,21.308916025455876,10.400265016157888,0.014891053088592066,0.4643813152774414,833
Z02,wet,26.273771250594272,14.48612976655325,6.053153719581026,10.669794485232062,3.8855344267895298,-0.016044269079592777,0.36721673174273245,820
Z03,dry,29.38060715987491,25.980224837423183,21.52350701941733,21.837445843386977,21.33625151003109,-0.05010116407179943,0.5674545398165561,473
Z03,transdrywet,11.787151798905994,11.317874774296952,10.528774542075915,9.41751992263162,10.265337832075325,0.7764388153832997,0.9325596210359407,177
Z03,transwetdry,7.446537567294942,5.776343202707646,4.8240509691217035,2.135508453587023,2.358681655089491,0.9395555479482728,0.9452080946415543,512
Z03,wet,21.782362791485983,9.843837099839918,4.360298535223485,8.689653440758212,4.052560620103435,0.48977220075024086,0.6920726890359,448
Z04,dry,34.32864698029456,27.57787791633788,24.185973818041287,22.161028847979573,23.673120441918407,0.3252504970052824,0.6249235507078345,1602
Z04,transdrywet,12.125807705975694,9.59179820862723,9.375218334820488,2.446922325803131,1.8617878307174087,0.9194310848965431,0.9234889835228504,1679
Z04,transwetdry,15.444496671577616,10.489303008719354,8.108235052077998,7.659177349732907,7.566430384346766,0.8532926456810748,0.8894224729067681,1558
Z04,wet,36.49376375746072,25.763118772581727,17.961715780190733,24.891871451219412,17.961715780190733,0.1280784362004832,0.5929602387414202,1315
Z05,dry,25.953736600820037,17.771823102198958,10.287509495352413,17.376509645969524,10.16196227368107,0.13000928402549017,0.6813410343413229,1362
Z05,transdrywet,13.61757825505849,10.337138292236789,9.961925976908105,-5.971506760973438,-9.348105373668588,0.7942656094037441,0.8390166612718691,1359
Z05,transwetdry,18.00557224108297,13.165669562401272,12.636323147845324,-6.611172797004359,-9.933916598823146,0.5893477141894616,0.67000133824254,1247
Z05,wet,19.516339272612257,11.895783217991633,7.703453301202803,2.8379488514346645,-4.401842747214372,0.5269992118958537,0.6474852496622687,1277
Z06,dry,8.739159098505054,3.992316095440944,2.5197093461165423,-0.6506754802517362,0.8545147183781125,0.7718733560553575,0.7841925501579674,847
Z06,transdrywet,12.544872154547182,10.001105338763931,8.568060466909799,-9.991295204281794,-8.568060466909799,-0.10618251176333571,0.6456066226687086,563
Z06,transwetdry,10.205723968930716,8.662748492746267,8.612406339055752,-7.633593606761981,-8.601108769476454,0.7546939400824368,0.9032745009780577,678
Z06,wet,17.465221017307044,13.939636313190396,11.789598883993477,-7.627447118372607,-11.158321812415423,0.11159000347180514,0.6253580789019773,790
