season,rmse,mae,median_abs_error,bias,median_error,r2_identity,r2_pearson,n
dry,25.828835485713803,17.48790929562538,10.171459113305822,9.275446336933529,6.263907094223931,0.525906421772476,0.6233801923693804,6216
transdrywet,15.594581857915365,10.998014458723777,9.375218334820488,2.1795263435435706,1.737066468394719,0.8181385758585549,0.8243215528202086,5551
transwetdry,18.960452119477374,12.23050582264193,8.597160366592455,4.576534806328244,3.0723220492252263,0.7491222026610265,0.7671296145520229,5713
wet,24.380430562577672,14.875454259163618,8.775556846584266,7.26749682500467,1.995499940924816,0.565190716770404,0.6435604660473678,5767
